application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
ANDA079163,UNICHEM LABS LTD,DIVALPROEX SODIUM,003,No,,No,"TABLET, DELAYED RELEASE",ORAL,Prescription
ANDA079163,UNICHEM LABS LTD,DIVALPROEX SODIUM,001,No,,No,"TABLET, DELAYED RELEASE",ORAL,Prescription
ANDA079170,AUROBINDO PHARMA LTD,ROSUVASTATIN CALCIUM,004,No,,No,TABLET,ORAL,Prescription
ANDA079170,AUROBINDO PHARMA LTD,ROSUVASTATIN CALCIUM,002,No,,No,TABLET,ORAL,Prescription
ANDA079170,AUROBINDO PHARMA LTD,ROSUVASTATIN CALCIUM,003,No,,No,TABLET,ORAL,Prescription
ANDA079170,AUROBINDO PHARMA LTD,ROSUVASTATIN CALCIUM,001,No,,No,TABLET,ORAL,Prescription
ANDA079184,TEVA PHARMS USA,URSODIOL,001,No,,No,TABLET,ORAL,Discontinued
ANDA079184,TEVA PHARMS USA,URSODIOL,002,No,,No,TABLET,ORAL,Discontinued
ANDA079209,AUROBINDO PHARMA,FLUOXETINE HYDROCHLORIDE,001,No,,Yes,SOLUTION,ORAL,Prescription
ANDA079218,WATSON LABS,LEVONORGESTREL AND ETHINYL ESTRADIOL,001,No,,Yes,TABLET,ORAL,Prescription
ANDA079220,NATCO PHARMA LTD,ANASTROZOLE,001,No,,No,TABLET,ORAL,Prescription
ANDA079224,GLAND PHARMA LTD,ONDANSETRON HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Prescription
ANDA079230,SANDOZ,RIZATRIPTAN BENZOATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA079230,SANDOZ,RIZATRIPTAN BENZOATE,002,No,,No,TABLET,ORAL,Discontinued
ANDA080003,ELKINS SINN,NITROFURANTOIN,001,No,,No,TABLET,ORAL,Discontinued
ANDA080003,ELKINS SINN,NITROFURANTOIN,002,No,,No,TABLET,ORAL,Discontinued
